,id,Sex,Birth.Order,Height,Weight
1,1,F,1,72.32040947,167.8198851
2,2,M,1,68.02489131,129.1997926
3,3,F,1,59.99459794,126.6185153
4,4,F,2,67.06704824,124.3674863
5,5,F,1,68.35522233,144.3181029
6,6,M,1,68.58849486,129.3724804
7,7,M,1,70.42678529,147.2535156
8,8,M,3,70.25333171,136.2497615
9,9,F,2,65.82396293,131.1938088
10,10,F,2,66.96017934,115.2296073
11,11,M,2,69.852955,157.0203332
12,12,F,1,64.31058135,119.2864756
13,13,F,1,63.44855942,126.4501818
14,14,M,2,77.46626853,165.2551991
15,15,F,1,67.125014,114.587998
16,16,F,1,65.68622153,151.7624699
17,17,M,1,66.85883227,116.4694932
18,18,F,2,63.57744537,95.1266607
19,19,M,2,74.50573413,159.5463854
20,20,F,1,61.48453069,129.4069412
21,21,F,2,67.03933304,138.2057578
22,22,M,3,73.46821618,149.0026725
23,23,F,1,67.35886498,132.5872941
24,24,F,1,64.11576052,133.9586848
25,25,F,3,66.20504783,143.0361435
26,26,M,2,74.19246067,125.682669
27,27,M,4,61.79914367,120.2715042
28,28,M,2,72.95793782,136.3036494
29,29,M,2,68.41382434,143.2242189
30,30,M,1,72.08121998,169.6046714
31,31,F,1,69.45940899,138.6287937
32,32,F,3,68.69419837,145.5412184
33,33,F,3,64.44450583,117.5865301
34,34,M,1,71.39633913,160.2612538
35,35,F,1,61.87805274,104.9574552
36,36,F,1,63.79569771,117.7991971
37,37,F,2,64.08974194,147.6148649
38,38,F,1,63.20678614,160.0646756
39,39,F,3,66.25190182,159.6179144
40,40,F,2,63.23469776,110.7935688
41,41,F,2,66.36636519,125.6782964
42,42,M,1,70.04574485,101.2282223
43,43,M,1,73.67125761,120.5449763
44,44,F,4,66.13291254,117.0201668
45,45,F,2,56.10913603,115.2346979
46,46,F,1,72.36890758,77.61767944
47,47,F,1,56.24747115,148.3783273
48,48,F,3,74.10061371,155.5752661
49,49,F,1,68.2520741,149.196066
50,50,M,1,66.34494523,140.2306831
51,51,F,1,64.86236004,109.1493226
52,52,M,2,70.96137208,176.876641
53,53,F,3,64.34778955,166.0381221
54,54,F,3,63.37020483,154.1550794
55,55,F,2,65.67082867,122.0556825
56,56,F,2,67.89738004,124.0490451
57,57,F,1,70.28585503,150.4527145
58,58,F,1,64.36778567,134.7724256
59,59,M,1,75.48242057,172.446021
60,60,M,1,72.39137519,200.9220585
61,61,F,1,70.04118055,141.5484296
62,62,M,2,69.71989686,137.6339684
63,63,F,2,60.54661717,122.1987029
64,64,M,2,74.42215485,143.3161187
65,65,F,2,60.01198216,119.6368318
66,66,F,4,58.65002991,100.9098086
67,67,F,1,61.17673105,121.0116854
68,68,F,2,68.07992105,84.62391714
69,69,M,2,74.17693042,149.9902618
70,70,F,1,63.98146109,120.8884676
71,71,F,1,69.8299215,143.1043005
72,72,M,2,73.96974936,145.1086647
73,73,M,1,69.09457061,169.3503468
74,74,F,2,56.76337602,116.9952372
75,75,F,2,63.42885362,119.2237219
76,76,M,2,67.91297212,157.9832085
77,77,F,1,67.12433513,107.2407722
78,78,M,1,68.78854277,131.2896754
79,79,M,1,72.49061518,165.8199462
80,80,M,2,69.78095952,171.3276574
81,81,M,2,70.25362244,119.1508425
82,82,M,2,73.61528182,118.843285
83,83,F,1,72.57365488,162.6894378
84,84,F,2,66.34765767,102.9685267
85,85,M,1,64.47016833,113.9847726
86,86,M,2,73.7642882,176.2581618
87,87,M,2,69.90034449,152.2519535
88,88,M,2,71.32913365,144.746195
89,89,M,3,77.27228376,139.2214568
90,90,F,2,65.05732944,89.26316708
91,91,M,1,67.43729216,120.7480728
92,92,M,2,66.10730862,121.8420985
93,93,F,3,69.88316472,157.5551259
94,94,F,4,63.09387039,127.6310688
95,95,F,1,70.57722253,132.1523653
96,96,M,1,72.32125248,149.1728096
97,97,F,3,63.68321864,105.6190062
98,98,M,2,74.6318444,110.766909
99,99,F,2,68.86441722,125.065728
100,100,F,2,67.98084075,152.5001046
101,101,F,1,60.08230996,121.4131196
102,102,F,1,66.4559917,125.5321122
103,103,F,1,66.92860228,127.171903
104,104,M,3,69.50299996,130.8460679
105,105,M,2,71.25435527,129.5676
106,106,F,1,71.96564332,118.4561018
107,107,M,2,73.14090751,148.3086557
108,108,F,2,67.36775071,130.640901
109,109,F,2,71.60981299,120.9797419
110,110,M,1,68.01763612,130.9809546
111,111,F,2,72.29248008,94.76812896
112,112,M,2,72.79186013,138.8701508
113,113,F,2,71.38097676,128.3559829
114,114,M,1,66.69181866,168.9144032
115,115,M,2,75.95909685,141.6156184
116,116,M,2,68.18592268,134.0141743
117,117,M,1,75.80064492,130.5618745
118,118,F,1,62.28965924,127.6861528
119,119,F,3,68.01002341,114.1486263
120,120,M,1,72.81147427,117.6597836
121,121,M,1,72.09706286,145.8305791
122,122,F,1,69.85966374,112.07165
123,123,F,2,57.61207626,136.1132511
124,124,M,1,73.50298456,127.172066
125,125,M,3,70.97585779,159.4941627
126,126,F,2,67.00380874,152.1447303
127,127,M,1,65.35068679,156.7240436
128,128,M,1,76.52742972,136.9425257
129,129,F,1,67.29737563,169.6529713
130,130,M,3,72.09365868,194.1120316
131,131,M,1,71.14994789,124.1227844
132,132,F,2,68.50493822,153.2434995
133,133,M,1,71.30174548,121.6623828
134,134,F,1,62.09471519,115.5573166
135,135,F,3,60.45715317,149.1368787
136,136,M,2,74.80561538,180.5272298
137,137,M,3,68.22381581,177.0381409
138,138,M,3,71.19049826,96.98441718
139,139,M,1,69.51876546,125.957104
140,140,F,2,67.21384621,134.2468155
141,141,F,3,63.00517559,106.8765474
142,142,F,1,66.94277561,153.6003166
143,143,M,3,67.09285589,133.2804471
144,144,F,2,67.92428983,105.5853486
145,145,F,2,73.52799227,120.4406705
146,146,F,2,64.21554031,105.3914863
147,147,M,3,62.88702141,113.5648927
148,148,M,1,71.37407827,147.7393955
149,149,F,1,69.15947166,127.3768103
150,150,F,2,67.66992829,107.711724
151,151,M,3,75.51834739,148.4655031
152,152,M,1,68.61007596,146.9135512
153,153,F,1,63.06309308,125.4495271
154,154,M,1,66.05048383,144.6337889
155,155,M,2,69.65311261,128.3265864
156,156,F,2,64.89803405,118.4752925
157,157,F,1,59.05072742,147.5945254
158,158,M,2,70.79190324,124.3196051
159,159,F,1,69.08969065,149.6638924
160,160,F,1,64.90050886,124.558647
161,161,F,4,64.03342057,148.9828799
162,162,M,1,68.7486646,127.6177181
163,163,M,3,77.34000842,160.3577989
164,164,M,1,77.45534089,172.7428362
165,165,M,3,73.62220259,146.7089876
166,166,M,1,67.9061221,138.4711211
167,167,F,1,67.08325676,120.8684395
168,168,M,1,61.71978785,97.62494454
169,169,M,4,68.63338676,160.033621
170,170,F,2,70.29018643,149.6983712
171,171,F,2,65.11735068,125.6510033
172,172,M,3,68.54354566,116.5417181
173,173,M,1,73.73780014,155.5468111
174,174,M,3,62.00250913,127.1929358
175,175,M,2,65.64707491,138.0536271
176,176,F,2,70.20512431,156.0856733
177,177,M,3,75.76630713,146.5678824
178,178,F,3,64.14806633,136.7823917
179,179,F,2,64.84404701,97.00688838
180,180,F,2,58.53846462,125.3530579
181,181,M,3,74.59295091,146.5639895
182,182,M,1,67.41504527,142.7124736
183,183,M,2,68.78014364,121.7094885
184,184,F,2,62.97297933,130.3955727
185,185,F,2,66.27701019,128.2848657
186,186,M,3,71.63742411,159.5984023
187,187,F,4,60.57098984,132.4852486
188,188,F,1,65.83050499,132.6285703
189,189,F,2,59.27601003,132.1961851
190,190,M,2,73.38799717,132.7811024
191,191,F,2,64.40625622,95.55550564
192,192,M,1,66.83377372,125.0756887
193,193,M,1,65.46357345,149.2659851
194,194,F,3,68.39407556,141.5833896
195,195,F,1,67.76525867,129.0343591
196,196,F,2,72.6016079,108.3966795
197,197,M,1,73.72656237,164.057771
198,198,M,3,74.24768558,173.5667772
199,199,M,2,70.41972207,143.8259434
200,200,M,1,62.43764088,119.4243347
201,201,M,2,70.19666549,124.9315673
202,202,F,1,66.76081599,133.5939278
203,203,M,2,66.65116659,131.9091431
204,204,M,1,77.20120391,134.1901301
205,205,F,1,65.05812451,120.6596062
206,206,M,4,56.41779491,123.1466106
207,207,F,1,73.29563254,127.649936
208,208,F,1,63.98471226,115.7908472
209,209,M,3,72.78701775,174.5294135
210,210,M,1,66.84519888,128.711415
211,211,M,3,71.87687957,158.2618241
212,212,M,1,74.23274977,180.3356593
213,213,F,1,65.86123171,109.7326768
214,214,F,2,67.89687117,138.3556905
215,215,M,3,72.11506396,207.5913708
216,216,F,1,66.20440798,129.3016404
217,217,F,1,64.15874115,129.961285
218,218,M,1,66.34241598,133.8662122
219,219,M,2,72.17867294,132.9014551
220,220,M,1,68.12793378,107.090463
221,221,F,1,71.05459773,128.1033751
222,222,M,1,62.06775205,144.8589827
223,223,M,1,64.51611809,155.2001235
224,224,F,1,65.02308841,149.5089031
225,225,M,1,81.22611303,181.2241029
226,226,M,2,63.88466178,103.2606621
227,227,F,1,68.25575576,77.41933024
228,228,M,1,64.98199991,140.0812005
229,229,M,3,73.99811235,162.9089496
230,230,F,4,62.81096237,89.79034486
231,231,F,3,68.94029006,129.4254985
232,232,F,2,67.08386676,146.8302581
233,233,M,2,71.84026343,134.6504462
234,234,M,1,70.08737426,160.9713688
235,235,M,1,69.25281233,130.854838
236,236,M,1,77.04745953,148.6858952
237,237,F,2,69.9446928,152.5899357
238,238,M,1,67.46559552,171.4813674
239,239,F,2,68.46901535,118.1062223
240,240,F,2,60.05984809,120.336829
241,241,M,1,73.0831921,151.4344036
242,242,M,1,70.2663185,161.2816048
243,243,M,3,62.75467434,108.8171782
244,244,F,1,57.83081385,133.3584773
245,245,F,1,63.93702177,123.2102085
246,246,M,2,66.57842131,137.5390737
247,247,M,1,67.88403796,158.2246508
248,248,F,1,71.18089042,146.747136
249,249,F,4,60.52514324,113.8309963
250,250,F,1,61.23172539,143.0351333
251,251,F,1,67.32175077,137.7377222
252,252,F,1,65.34572663,89.09297334
253,253,F,3,59.31600575,117.4536225
254,254,F,1,70.66676431,106.7909884
255,255,F,1,60.99388437,100.4956838
256,256,M,3,76.1196505,172.0294162
257,257,F,1,59.88130922,142.192193
258,258,M,1,73.59384361,161.8797275
259,259,M,1,65.63799886,71.58361837
260,260,F,3,64.53560186,109.2224115
261,261,F,2,62.87951163,142.9256533
262,262,M,1,71.7546992,122.3642692
263,263,M,4,67.17443847,139.1868682
264,264,M,1,70.01886014,116.9043747
265,265,F,1,62.19914771,79.42777189
266,266,M,1,70.74644874,146.3716662
267,267,F,1,72.24353196,131.6518923
